algorithm_name,env_n,size,best_solution,H,states,time
Random,44,8,"[4, 4, 2, 3, 2, 3, 2, 2]",5,3000,0.0179
Hill Climbing,44,8,"[4, 4, 2, 3, 2, 3, 2, 2]",0,1306,0.2226
Simulated Annealing,44,8,"[4, 4, 2, 3, 2, 3, 2, 2]",0,594,0.0059
Genetic Algorithm,44,8,"[5, 2, 0, 6, 4, 7, 1, 3]",0,3015,0.6206
Random,45,8,"[1, 3, 4, 4, 4, 1, 7, 4]",4,3000,0.0182
Hill Climbing,45,8,"[1, 3, 4, 4, 4, 1, 7, 4]",0,204,0.0231
Simulated Annealing,45,8,"[1, 3, 4, 4, 4, 1, 7, 4]",1,1147,0.0096
Genetic Algorithm,45,8,"[5, 3, 1, 4, 7, 5, 0, 2]",1,603000,133.6975
Random,46,8,"[3, 0, 0, 2, 3, 0, 0, 2]",7,3000,0.018
Hill Climbing,46,8,"[3, 0, 0, 2, 3, 0, 0, 2]",0,906,0.1482
Simulated Annealing,46,8,"[3, 0, 0, 2, 3, 0, 0, 2]",1,1147,0.0098
Genetic Algorithm,46,8,"[5, 7, 1, 3, 0, 6, 4, 2]",0,1608,0.3113
Random,47,8,"[5, 7, 7, 4, 6, 3, 7, 0]",4,3000,0.0182
Hill Climbing,47,8,"[5, 7, 7, 4, 6, 3, 7, 0]",0,106,0.006
Simulated Annealing,47,8,"[5, 7, 7, 4, 6, 3, 7, 0]",1,1147,0.0094
Genetic Algorithm,47,8,"[5, 2, 0, 7, 3, 1, 6, 4]",0,2814,0.5744
Random,48,8,"[6, 4, 5, 4, 2, 4, 1, 0]",10,3000,0.0182
Hill Climbing,48,8,"[6, 4, 5, 4, 2, 4, 1, 0]",0,905,0.1477
Simulated Annealing,48,8,"[6, 4, 5, 4, 2, 4, 1, 0]",1,1147,0.0094
Genetic Algorithm,48,8,"[2, 4, 1, 7, 0, 6, 3, 5]",0,3015,0.6183
Random,49,8,"[2, 1, 7, 5, 3, 3, 7, 7]",7,3000,0.018
Hill Climbing,49,8,"[2, 1, 7, 5, 3, 3, 7, 7]",0,406,0.0599
Simulated Annealing,49,8,"[2, 1, 7, 5, 3, 3, 7, 7]",1,1147,0.0094
Genetic Algorithm,49,8,"[5, 3, 1, 7, 4, 6, 0, 2]",0,26733,5.8391
Random,50,8,"[0, 1, 3, 6, 5, 4, 2, 4]",10,3000,0.018
Hill Climbing,50,8,"[0, 1, 3, 6, 5, 4, 2, 4]",0,905,0.1476
Simulated Annealing,50,8,"[0, 1, 3, 6, 5, 4, 2, 4]",1,1147,0.0097
Genetic Algorithm,50,8,"[3, 0, 4, 7, 5, 2, 6, 1]",0,4020,0.8385
Random,51,8,"[2, 4, 1, 5, 2, 0, 6, 6]",10,3000,0.018
Hill Climbing,51,8,"[2, 4, 1, 5, 2, 0, 6, 6]",0,1004,0.1668
Simulated Annealing,51,8,"[2, 4, 1, 5, 2, 0, 6, 6]",1,1147,0.0094
Genetic Algorithm,51,8,"[3, 0, 4, 7, 5, 2, 6, 1]",0,2211,0.4427
Random,52,8,"[2, 6, 6, 4, 7, 3, 7, 2]",11,3000,0.0182
Hill Climbing,52,8,"[2, 6, 6, 4, 7, 3, 7, 2]",0,506,0.0771
Simulated Annealing,52,8,"[2, 6, 6, 4, 7, 3, 7, 2]",1,1147,0.0099
Genetic Algorithm,52,8,"[5, 1, 6, 0, 3, 7, 4, 2]",0,3618,0.7487
Random,53,8,"[2, 3, 0, 7, 2, 1, 5, 1]",10,3000,0.0181
Hill Climbing,53,8,"[2, 3, 0, 7, 2, 1, 5, 1]",0,205,0.0231
Simulated Annealing,53,8,"[2, 3, 0, 7, 2, 1, 5, 1]",0,702,0.0067
Genetic Algorithm,53,8,"[7, 1, 3, 0, 6, 4, 2, 5]",0,3417,0.7053
Random,54,8,"[4, 1, 0, 4, 6, 6, 5, 2]",0,239,0.0016
Hill Climbing,54,8,"[4, 1, 0, 4, 6, 6, 5, 2]",0,4,0.0002
Simulated Annealing,54,8,"[4, 1, 0, 4, 6, 6, 5, 2]",1,1147,0.0094
Genetic Algorithm,54,8,"[2, 5, 3, 1, 7, 4, 6, 0]",0,1608,0.311
Random,55,8,"[6, 2, 3, 2, 3, 2, 1, 2]",6,3000,0.0181
Hill Climbing,55,8,"[6, 2, 3, 2, 3, 2, 1, 2]",0,401,0.0575
Simulated Annealing,55,8,"[6, 2, 3, 2, 3, 2, 1, 2]",1,1147,0.0095
Genetic Algorithm,55,8,"[3, 7, 0, 2, 5, 1, 6, 4]",0,4422,0.9292
Random,56,8,"[6, 0, 3, 4, 7, 0, 4, 0]",6,3000,0.0179
Hill Climbing,56,8,"[6, 0, 3, 4, 7, 0, 4, 0]",0,1506,0.2582
Simulated Annealing,56,8,"[6, 0, 3, 4, 7, 0, 4, 0]",1,1147,0.0094
Genetic Algorithm,56,8,"[2, 6, 1, 7, 5, 3, 0, 4]",0,4422,0.9244
Random,57,8,"[3, 3, 6, 0, 2, 7, 0, 2]",4,3000,0.0182
Hill Climbing,57,8,"[3, 3, 6, 0, 2, 7, 0, 2]",0,107,0.0062
Simulated Annealing,57,8,"[3, 3, 6, 0, 2, 7, 0, 2]",0,796,0.0071
Genetic Algorithm,57,8,"[2, 5, 1, 6, 0, 3, 7, 4]",0,263109,58.0266
Random,58,8,"[7, 4, 4, 3, 1, 1, 4, 5]",8,3000,0.0181
Hill Climbing,58,8,"[7, 4, 4, 3, 1, 1, 4, 5]",0,306,0.0404
Simulated Annealing,58,8,"[7, 4, 4, 3, 1, 1, 4, 5]",0,772,0.0073
